,Open,High,Low,Close,Volume,Log return %
2021-09-08,84.88,84.88,83.9,84.0,3682200.0,-1.0421695462414071
2021-09-07,85.37,86.36,84.88,84.88,2622200.0,-0.5756256716487439
2021-09-06,85.18,85.86,85.28,85.37,3212200.0,0.22280865271476386
2021-09-01,84.5,85.86,84.31,85.18,3430100.0,0.8015130131939447
2021-08-31,84.5,84.7,84.21,84.5,2957200.0,0.0
2021-08-30,84.12,84.7,84.12,84.5,4306000.0,0.4507183528629165
2021-08-27,84.12,84.6,83.83,84.12,2346900.0,0.0
2021-08-26,84.02,84.79,83.83,84.12,1896000.0,0.11894850932630564
2021-08-25,83.44,84.21,83.15,84.02,1675500.0,0.692705504871888
2021-08-24,83.15,84.12,82.86,83.44,2375700.0,0.34816050535801624
2021-08-23,84.89,84.89,83.15,83.15,4356500.0,-2.0710095110939677
2021-08-20,87.31,87.31,84.12,84.89,4326800.0,-2.810870307283989
2021-08-19,87.02,87.5,86.82,87.31,3061300.0,0.332702653018239
2021-08-18,86.34,87.89,86.44,87.02,4710100.0,0.7844987165202502
2021-08-17,86.53,87.11,86.15,86.34,2202200.0,-0.2198184491315959
2021-08-16,86.92,87.6,86.05,86.53,3270800.0,-0.4496980769581385
2021-08-13,87.5,87.5,86.24,86.92,4105500.0,-0.6650637975339856
2021-08-12,87.89,88.47,87.31,87.5,4287800.0,-0.44472392129851257
2021-08-11,86.44,88.37,86.82,87.89,5330400.0,1.663550093786866
2021-08-10,84.79,87.02,85.08,86.44,5833300.0,1.9272920322773408
2021-08-09,84.31,84.99,84.12,84.79,2731300.0,0.5677129381327296
2021-08-06,83.73,85.47,83.73,84.31,3960600.0,0.6903145718243671
2021-08-05,84.21,84.21,83.73,83.73,2833600.0,-0.571634282556025
2021-08-04,84.21,84.6,84.12,84.21,2873000.0,0.0
2021-08-03,83.63,84.6,83.73,84.21,2714600.0,0.6911371648466298
2021-08-02,83.25,84.02,83.15,83.63,2574300.0,0.4554178532881069
2021-07-30,83.92,84.31,83.05,83.25,4405200.0,-0.8015835227488517
2021-07-29,84.02,84.79,83.15,83.92,2648300.0,-0.11909016531941824
2021-07-28,84.6,84.6,83.73,84.02,1665500.0,-0.6879400870941547
2021-07-27,85.95,86.53,84.6,84.6,2388200.0,-1.5831465216680738
2021-07-26,84.7,86.24,84.99,85.95,2791500.0,1.4650130170849585
2021-07-23,83.92,86.82,83.25,84.7,4126700.0,0.9251637569966973
2021-07-22,82.47,84.21,82.47,83.92,2152400.0,1.7429373242777773
2021-07-21,83.05,83.05,82.38,82.47,1696200.0,-0.700824521403981
2021-07-20,82.18,83.15,81.51,83.05,3207300.0,1.0530872604040014
2021-07-19,83.05,83.05,81.22,82.18,4111700.0,-1.0530872604040022
2021-07-16,82.38,83.34,82.47,83.05,1449600.0,0.8100147051369123
2021-07-15,82.18,83.44,81.7,82.38,3284100.0,0.24307255526709576
2021-07-14,81.51,82.86,81.51,82.18,4180200.0,0.8186251348897559
2021-07-13,83.44,83.63,81.41,81.51,2883300.0,-2.3402098586150846
2021-07-12,84.12,85.08,81.51,83.44,4833100.0,-0.8116540141982079
2021-07-09,85.47,85.47,84.02,84.12,3058100.0,-1.592108634342753
2021-07-08,86.82,86.82,85.08,85.47,1908900.0,-1.5671572693520814
